year;forest;savanna;grassland;pasture;temp crop;permanent crop;forestry;mosaic;urban;water
1985,00;-0,15;0,69;-0,07;-0,08;0,00;0,00;0,00;0,00;0,00;0,00
1986,00;-0,15;0,68;-0,07;-0,09;0,00;0,00;0,00;0,00;0,00;0,00
1987,00;-0,14;0,67;-0,07;-0,10;0,00;0,00;0,00;0,00;0,00;0,00
1988,00;-0,14;0,66;-0,07;-0,11;0,00;0,00;0,00;0,00;0,00;0,00
1989,00;-0,14;0,65;-0,07;-0,12;0,00;0,00;-0,01;0,00;0,00;0,00
1990,00;-0,14;0,65;-0,07;-0,13;0,00;0,00;-0,01;0,00;0,00;0,00
1991,00;-0,14;0,65;-0,07;-0,13;0,00;0,00;0,00;0,00;0,00;0,00
1992,00;-0,14;0,65;-0,07;-0,13;0,00;0,00;0,00;0,00;0,00;0,00
1993,00;-0,14;0,65;-0,07;-0,13;0,00;0,00;0,00;0,00;0,00;0,00
1994,00;-0,14;0,64;-0,07;-0,14;0,00;0,00;0,00;0,00;0,00;0,00
1995,00;-0,14;0,64;-0,07;-0,14;0,00;0,00;0,00;0,00;0,00;0,00
1996,00;-0,14;0,64;-0,07;-0,14;0,00;0,00;0,00;0,00;0,00;0,00
1997,00;-0,14;0,64;-0,07;-0,14;0,00;0,00;0,00;0,00;0,00;0,00
1998,00;-0,14;0,64;-0,07;-0,14;0,00;0,00;0,00;0,00;0,00;0,00
1999,00;-0,14;0,64;-0,07;-0,14;0,00;0,00;0,00;0,00;0,00;0,00
2000,00;-0,14;0,64;-0,07;-0,15;0,00;0,00;0,00;0,00;0,00;0,00
2001,00;-0,14;0,64;-0,07;-0,15;0,00;0,00;0,00;0,00;0,00;0,00
2002,00;-0,14;0,64;-0,07;-0,15;0,00;0,00;0,00;0,00;0,00;0,00
2003,00;-0,14;0,63;-0,07;-0,15;0,00;0,00;0,00;0,00;0,00;0,00
2004,00;-0,14;0,63;-0,07;-0,15;0,00;0,00;0,00;0,00;0,00;0,00
2005,00;-0,14;0,63;-0,07;-0,16;0,00;0,00;0,00;0,00;0,00;0,00
2006,00;-0,13;0,63;-0,07;-0,16;0,00;0,00;0,00;0,00;0,00;0,00
2007,00;-0,14;0,62;-0,07;-0,16;0,00;0,00;0,00;0,00;0,00;0,00
2008,00;-0,14;0,62;-0,07;-0,16;0,00;0,00;0,00;0,00;0,00;0,00
2009,00;-0,14;0,62;-0,07;-0,16;0,00;0,00;0,00;0,00;0,00;0,00
2010,00;-0,14;0,62;-0,07;-0,16;0,00;0,00;0,00;0,00;0,00;0,00
2011,00;-0,14;0,61;-0,07;-0,17;0,00;0,00;0,00;0,00;0,00;0,00
2012,00;-0,14;0,61;-0,07;-0,17;0,00;0,00;0,00;0,00;0,00;0,00
2013,00;-0,14;0,61;-0,07;-0,17;0,00;0,00;0,00;0,00;0,00;0,00
2014,00;-0,14;0,61;-0,07;-0,18;-0,01;0,00;0,00;0,00;0,00;0,00
2015,00;-0,13;0,61;-0,07;-0,18;0,00;0,00;-0,01;0,00;0,00;0,00
2016,00;-0,14;0,60;-0,07;-0,18;0,00;0,00;0,00;0,00;0,00;0,00
2017,00;-0,14;0,60;-0,07;-0,18;0,00;0,00;-0,01;0,00;0,00;0,00
2018,00;-0,13;0,60;-0,07;-0,19;0,00;0,00;0,00;0,00;0,00;0,00
